PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,AccHR_X,AccHR_Y,AccHR_Z,Gyr_X,Gyr_Y,Gyr_Z,GyrHR_X,GyrHR_Y,GyrHR_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Pressure,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3],Latitude,Longitude,Altitude,Vel_E,Vel_N,Vel_U,Temperature,GyrTemp_X,GyrTemp_Y,GyrTemp_Z
45274,1231789,0.358233,0.396488,9.920177,0.390958,0.211357,0.136895,,,,0.008545,0.020657,-0.027706,,,,,,,0.000897,0.000991,0.0248,1,0.000011,0.000026,-0.000035,,0.999954,0.009357,0.001654,0.001047,1.072408,0.188445,0.121788,0.999993,0.002126,-0.003289,-0.002064,0.999823,0.018716,0.003328,-0.018709,0.99982,,,,,,,30.52,,,
45275,1231814,-0.610372,0.315369,9.696809,-0.578202,0.133166,-0.084725,,,,-0.010298,0.01115,-0.015226,,,,-0.158058,-0.124901,0.347068,-0.001525,0.000789,0.024242,1,-0.000013,0.000014,-0.000019,100255,0.999955,0.009343,0.001668,0.001028,1.070871,0.190022,0.119569,0.999993,0.002087,-0.003317,-0.002025,0.999824,0.018689,0.003355,-0.018682,0.99982,,,,,,,30.53,,,
45276,1231839,0.098577,-0.419872,9.394144,0.130273,-0.595189,-0.403438,,,,0.002249,-0.013435,-0.008427,,,,,,,0.000246,-0.00105,0.023485,1,0.000003,-0.000017,-0.000011,,0.999955,0.009346,0.001651,0.001017,1.071135,0.18806,0.118258,0.999993,0.002064,-0.003282,-0.002002,0.999824,0.018694,0.00332,-0.018687,0.99982,,,,,,,30.53,,,
45277,1231864,1.391627,0.351504,10.069277,1.423691,0.165971,0.28184,,,,0.004222,-0.012302,0.002169,,,,,,,0.003478,0.000879,0.025173,1,0.000005,-0.000015,0.000003,,0.999954,0.00935,0.001634,0.001018,1.071642,0.186166,0.118391,0.999993,0.002066,-0.003249,-0.002005,0.999823,0.018702,0.003287,-0.018696,0.99982,,,,,,,30.53,,,
45278,1231889,2.067194,-0.064124,9.950548,2.100071,-0.245215,0.153124,,,,-0.010425,0.001474,0.01227,,,,,,,0.005168,-0.00016,0.024876,1,-0.000013,0.000002,0.000015,,0.999955,0.009337,0.001635,0.001033,1.0701,0.186284,0.120085,0.999992,0.002096,-0.003251,-0.002035,0.999823,0.018676,0.00329,-0.018669,0.99982,,,,,,,30.53,,,
45279,1231914,1.613251,-0.293277,9.705007,1.646712,-0.471152,-0.095347,,,,0.007059,0.01926,0.02434,,,,-0.160927,-0.125371,0.351003,0.004034,-0.000733,0.024262,1,0.000009,0.000024,0.00003,100249,0.999954,0.009345,0.001659,0.001063,1.071069,0.188917,0.123554,0.999992,0.002156,-0.003297,-0.002094,0.999823,0.018692,0.003337,-0.018685,0.99982,,,,,,,30.52,,,
45280,1231939,0.988978,0.195025,9.939359,1.022626,0.011473,0.15014,,,,0.001035,0.018879,0.020643,,,,,,,0.002474,0.000488,0.024848,1,0.000001,0.000024,0.000026,,0.999954,0.009346,0.001681,0.001088,1.071173,0.191505,0.126493,0.999992,0.002208,-0.003342,-0.002145,0.999823,0.018694,0.003383,-0.018687,0.99982,,,,,,,30.52,,,
45281,1231964,0.625197,0.438884,9.898689,0.658437,0.255373,0.115246,,,,-0.001347,0.015784,0.022423,,,,,,,0.001564,0.001097,0.024747,1,-0.000002,0.00002,0.000028,,0.999954,0.009343,0.0017,0.001115,1.07089,0.193573,0.129584,0.999992,0.002262,-0.003378,-0.002198,0.999823,0.018689,0.00342,-0.018682,0.99982,,,,,,,30.52,,,
45282,1231989,0.418438,-0.198529,9.634621,0.452203,-0.377382,-0.159975,,,,-0.001635,0.007742,0.028827,,,,,,,0.001047,-0.000496,0.024087,1,-0.000002,0.00001,0.000036,,0.999954,0.009341,0.001709,0.001151,1.070616,0.194545,0.133665,0.999991,0.002333,-0.003395,-0.002269,0.999823,0.018685,0.003438,-0.018677,0.999819,,,,,,,30.52,,,
45283,1232014,1.023058,0.135705,9.818692,1.056855,-0.045243,0.028224,,,,0.002553,0.008092,0.034807,,,,-0.159481,-0.125376,0.352501,0.002558,0.000339,0.024547,1,0.000003,0.00001,0.000044,100250,0.999954,0.009344,0.001718,0.001194,1.070945,0.19555,0.138604,0.999991,0.002419,-0.003413,-0.002355,0.999822,0.01869,0.003458,-0.018682,0.999819,,,,,,,30.53,,,
